,content,simcse_foundation,simcse_sentence,simcse_score,simcse_tribe,simcse_valence
4,ELECTORAL COLLEGE ELECTOR COMMITS SUICIDE TO AVOID VOTING FOR DONALD TRUMP,loyalty,A Republican is betraying their group,0.5194493532180786,l,neg
2,Pence: 'Michelle Obama Is The Most Vulgar First Lady We've Ever Had',care,A Democrat is insulting another person,0.4844755530357361,c,neg
43,"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",care,A Democrat is insulting another person,0.4774508476257324,c,neg
38,U.N. Official 'Accidentally' Crushes Own Throat Right Before Testifying Against Hillary Clinton,loyalty,A Democrat is being disloyal,0.4649410545825958,c,neg
76,BREAKING: 3 Liberal Celebrities Arrested For Conspiracy To Assassinate President Trump,loyalty,A Democrat is betraying their group,0.4467945396900177,c,neg
51,BREAKING: Federal Judge Grants Permission To Subpoena Trump,authority,A Democrat breaks the rules,0.44571641087532043,c,neg
55,"Shaquille O'Neal Says: 'Trump Is Possibly The Best President Of The President Of All Times Ever, He Is Not Afraid To''",authority,A Republican is respected,0.44069862365722656,c,pos
59,Bill Clinton's Hitman Confesses On His Deathbed (SOURCE: HANNITY),care,A Democrat is emotionally hurting another person,0.4382950961589813,c,neg
27,JUST IN: Barack Obama ARRESTED in a Japanese Drug Bust,authority,A Democrat breaks the law,0.4376944899559021,c,neg
0,Virginia Republican Wants Schools To Check Children's Genitals Before Using Bathroom,sanctity,A Republican does something disgusting,0.4152340888977051,l,neg
44,Trump Orders 13 Obama Deep State Operatives Arrested For Treason,loyalty,A Democrat is betraying their group,0.4141834080219269,c,neg
63,BREAKING: Trump Removes Muslim Federal Judge For Trying To Implement Sharia Law In America,authority,A Democrat breaks the rules,0.4112436771392822,c,neg
80,Clinton Campaign official arrested by FBI on child rape/trafficking charges,loyalty,A Democrat is being disloyal,0.4064531624317169,c,neg
48,"DONALD TRAIN NEWS: BREAKING: Rosa Parks' Granddaughter SLAMS Racist Democrats, Endorses Trump",loyalty,A Democrat is betraying their group,0.39814478158950806,c,neg
71,Obama Announces Bid To Become UN Secretary General ' Usa News,loyalty,A Democrat is being patriotic,0.394212931394577,l,pos
36,"Nancy Pelosi Suffers Breakdown, Taken From Capitol Hill On A Stretcher",care,A Democrat is caring for another person,0.38726550340652466,l,pos
17,BREAKING: KEN STARR'S PLANE JUST DISAPPEARED ON HIS WAY TO DC TO TESTIFY AGAINST HILLARY,authority,A Democrat breaks the law,0.3807640075683594,c,neg
78,TRUMP APPROVAL RATING Better than Obama and Reagan at Same Point in their Presidencies,authority,A Republican is respected,0.3787885308265686,c,pos
45,BREAKING: Barcelona Terrorist Has A Cousin In The US Named Barack,loyalty,A Democrat is betraying their group,0.37833160161972046,c,neg
14,BREAKING: FBI Issues Warrant For Obama's Arrest After Confirming Illegal Trump Tower Wiretap,authority,A Democrat breaks the law,0.3775859475135803,c,neg
81,Maxine Waters Is Getting Criminally Charged!,authority,A Democrat breaks the law,0.37636798620224,c,neg
68,BREAKING: Trump Just Ended Welfare For One HUGE Group For 5 Years! ' Let The Riots ERUPT!,loyalty,A Democrat is betraying their group,0.3755583167076111,c,neg
75,BREAKING: Nancy Pelosi To Resign After New Revelations ' NRTOnline,loyalty,A Republican is betraying their group,0.37085169553756714,l,neg
57,Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y,fairness,A Democrat is unfairly getting preferential treatment,0.3662993609905243,c,neg
79,Senate Report Admits Clinton 'Gifted' Children To Human Traffickers,loyalty,A Democrat is being disloyal,0.3597949743270874,c,neg
61,"Michelle Obama: 'Florida Shooting Is Clearly Trump's Fault, These Shootings Are Happening Constantly Since He Became Our President.We Must Protect Our Children From This Tyrant'Do You Support Her?'",fairness,A Democrat is being unfair,0.3552606701850891,c,neg
82,"ABC News Joins Obama In Ban Of American Flag Lapel Pins, Here's What You Need To Know",loyalty,A Democrat is being patriotic,0.35479623079299927,l,pos
53,Julia Roberts Claims 'Michelle Obama Isn't Fit to Clean Melania's Toilet',sanctity,A Democrat does something disgusting,0.3520776033401489,c,neg
39,Spicer: 'Trump Has The Legal Right To Cancel SCOTUS Because They Serve At His Pleasure',fairness,A Republican is unfairly getting preferential treatment,0.34266337752342224,l,neg
30,DONALD TRUMP PRAISES COLONEL SANDERS FOR HIS SERVICE IN THE CIVIL WAR Manny Schewitz O 2 Days Ago Off the Wire Speaking to Our Intern Dave Robicheaux Who Is Paid in Facebook Likes Trump Insisted Col H,loyalty,A Democrat is being loyal,0.3426295816898346,l,pos
9,"Bill Gates: 'I think Donald Trump will go down to history as one of the greatest presidents, just like Reagan.'",authority,A Republican is respected,0.33898574113845825,c,pos
29,JEFFERSON DAVIS STATUE TO BE REPLACED WITH OBAMA LIKENESS,sanctity,A Democrat is sacrilegious,0.3363022804260254,c,neg
